,employee_id,last_name,E_MAIL,rfc_number,submit_date_ut,ACTION_LABEL_EN
28,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Call
29,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Notification prise en compte demandeur
30,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Processing your request
31,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Processing your request
32,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Processing your request
33,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Processing your request
34,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Processing your request
35,2148,Ludo_lec_2148,E_MAIL_2148@company.com,S1611-1249,2016-11-25 15:21:21.000,Send Email to Support Persons
36,2093,Flor_nel_2093,E_MAIL_2093@company.com,I1611-1054,2016-11-25 15:15:54.000,Call
37,2093,Flor_nel_2093,E_MAIL_2093@company.com,I1611-1054,2016-11-25 15:15:54.000,Requestor notification
38,8592,Fran_vre_8592,E_MAIL_8592@company.com,I1611-1053,2016-11-25 14:36:14.000,Call
39,8592,Fran_vre_8592,E_MAIL_8592@company.com,I1611-1053,2016-11-25 14:36:14.000,Requestor notification
40,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Creation
41,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Drafts
42,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Notification prise en compte demandeur
43,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Processing your request
44,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Delete the Contents of a Service
45,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Requalification
46,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Notification prise en compte demandeur
47,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Installation de la boite mail sur le poste
48,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Send Email
49,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Vérification
50,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Validation demandeur
51,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1246,2016-11-25 14:32:12.557,Send Email
52,724,Kari_and_724,E_MAIL_724@company.com,I1611-1052,2016-11-25 14:27:25.000,Call
53,724,Kari_and_724,E_MAIL_724@company.com,I1611-1052,2016-11-25 14:27:25.000,Requestor notification
54,724,Kari_and_724,E_MAIL_724@company.com,I1611-1052,2016-11-25 14:27:25.000,Analyse et résolution
55,724,Kari_and_724,E_MAIL_724@company.com,I1611-1052,2016-11-25 14:27:25.000,Send Email
56,1028,Sand_ger_1028,E_MAIL_1028@company.com,I1611-1051,2016-11-25 14:27:22.000,Call
57,1028,Sand_ger_1028,E_MAIL_1028@company.com,I1611-1051,2016-11-25 14:27:22.000,Requestor notification
58,1028,Sand_ger_1028,E_MAIL_1028@company.com,I1611-1051,2016-11-25 14:27:22.000,Analyse et résolution
59,1028,Sand_ger_1028,E_MAIL_1028@company.com,I1611-1051,2016-11-25 14:27:22.000,Send Email
60,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Creation
61,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Notification prise en compte demandeur
62,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Traitement de la demande
63,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Validation futur manager
64,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Send Email
65,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,[Mise en place des droits]
66,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Installation de la boite mail sur le poste
67,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Validation du demandeur
68,8798,Delp_and_8798,E_MAIL_8798@company.com,S1611-1245,2016-11-25 14:23:32.000,Send Email
69,8815,Thom_fon_8815,E_MAIL_8815@company.com,I1611-1050,2016-11-25 14:17:53.317,Call
70,198,Séba_eil_198,E_MAIL_198@company.com,I1611-1049,2016-11-25 14:17:21.000,Call
71,198,Séba_eil_198,E_MAIL_198@company.com,I1611-1049,2016-11-25 14:17:21.000,Requestor notification
72,198,Séba_eil_198,E_MAIL_198@company.com,I1611-1049,2016-11-25 14:17:21.000,Analyse et résolution
73,198,Séba_eil_198,E_MAIL_198@company.com,I1611-1049,2016-11-25 14:17:21.000,Send Email
74,5922,Pedr_ues_5922,E_MAIL_5922@company.com,S1611-1244,2016-11-25 14:14:22.000,Call
75,5922,Pedr_ues_5922,E_MAIL_5922@company.com,S1611-1244,2016-11-25 14:14:22.000,Notification prise en compte demandeur
76,5922,Pedr_ues_5922,E_MAIL_5922@company.com,S1611-1244,2016-11-25 14:14:22.000,Processing your request
77,5922,Pedr_ues_5922,E_MAIL_5922@company.com,S1611-1244,2016-11-25 14:14:22.000,On Hold
78,361,Flor_cas_361,E_MAIL_361@company.com,I1611-1047,2016-11-25 14:00:14.000,Call
79,361,Flor_cas_361,E_MAIL_361@company.com,I1611-1047,2016-11-25 14:00:14.000,Requestor notification
80,361,Flor_cas_361,E_MAIL_361@company.com,I1611-1047,2016-11-25 14:00:14.000,Analyse et résolution
81,361,Flor_cas_361,E_MAIL_361@company.com,I1611-1047,2016-11-25 14:00:14.000,Send Email
82,2011,Séba_son_2011,E_MAIL_2011@company.com,S1611-1243,2016-11-25 13:51:42.300,Creation
83,2011,Séba_son_2011,E_MAIL_2011@company.com,S1611-1243,2016-11-25 13:51:42.300,Drafts
84,2011,Séba_son_2011,E_MAIL_2011@company.com,S1611-1243,2016-11-25 13:51:42.300,Notification prise en compte demandeur
85,2011,Séba_son_2011,E_MAIL_2011@company.com,S1611-1243,2016-11-25 13:51:42.300,Traitement de la demande
86,2011,Séba_son_2011,E_MAIL_2011@company.com,S1611-1243,2016-11-25 13:51:42.300,Validation futur manager
87,2011,Séba_son_2011,E_MAIL_2011@company.com,S1611-1243,2016-11-25 13:51:42.300,Send Email
88,1079,Anni_ier_1079,E_MAIL_1079@company.com,I1611-1044,2016-11-25 13:51:28.000,Call
89,1079,Anni_ier_1079,E_MAIL_1079@company.com,I1611-1044,2016-11-25 13:51:28.000,Requestor notification
90,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1242,2016-11-25 13:45:40.617,Creation
91,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1242,2016-11-25 13:45:40.617,Drafts
92,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1242,2016-11-25 13:45:40.617,Notification prise en compte demandeur
93,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1242,2016-11-25 13:45:40.617,Traitement de la demande
94,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1242,2016-11-25 13:45:40.617,Validation futur manager
95,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1242,2016-11-25 13:45:40.617,Send Email
96,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1242,2016-11-25 13:45:40.617,Cancellation / Closure
97,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Creation
98,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Drafts
99,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Notification prise en compte demandeur
100,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Traitement de la demande
101,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Validation futur manager
102,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Send Email
103,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,[Mise en place des droits]
104,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Installation de la boite mail sur le poste
105,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Validation du demandeur
106,8427,Alex_ahé_8427,E_MAIL_8427@company.com,S1611-1241,2016-11-25 13:44:38.547,Send Email
107,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1240,2016-11-25 13:26:18.563,Creation
108,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1240,2016-11-25 13:26:18.563,Drafts
109,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1240,2016-11-25 13:26:18.563,Notification prise en compte demandeur
110,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1240,2016-11-25 13:26:18.563,Installation de la boite mail sur le poste
111,2017,Séba_ndé_2017,E_MAIL_2017@company.com,S1611-1240,2016-11-25 13:26:18.563,Send Email
112,914,Mary_set_914,E_MAIL_914@company.com,S1611-1239,2016-11-25 13:11:26.993,Creation
113,914,Mary_set_914,E_MAIL_914@company.com,S1611-1239,2016-11-25 13:11:26.993,Drafts
114,914,Mary_set_914,E_MAIL_914@company.com,S1611-1239,2016-11-25 13:11:26.993,Notification prise en compte demandeur
115,914,Mary_set_914,E_MAIL_914@company.com,S1611-1239,2016-11-25 13:11:26.993,Processing your request
116,914,Mary_set_914,E_MAIL_914@company.com,S1611-1239,2016-11-25 13:11:26.993,Vérification
117,914,Mary_set_914,E_MAIL_914@company.com,S1611-1239,2016-11-25 13:11:26.993,Validation demandeur
118,914,Mary_set_914,E_MAIL_914@company.com,S1611-1239,2016-11-25 13:11:26.993,Send Email
119,914,Mary_set_914,E_MAIL_914@company.com,S1611-1238,2016-11-25 13:09:43.820,Creation
120,914,Mary_set_914,E_MAIL_914@company.com,S1611-1238,2016-11-25 13:09:43.820,Drafts
121,914,Mary_set_914,E_MAIL_914@company.com,S1611-1238,2016-11-25 13:09:43.820,Notification prise en compte demandeur
122,914,Mary_set_914,E_MAIL_914@company.com,S1611-1238,2016-11-25 13:09:43.820,Processing your request
123,914,Mary_set_914,E_MAIL_914@company.com,S1611-1238,2016-11-25 13:09:43.820,Vérification
124,914,Mary_set_914,E_MAIL_914@company.com,S1611-1238,2016-11-25 13:09:43.820,Validation demandeur
125,914,Mary_set_914,E_MAIL_914@company.com,S1611-1238,2016-11-25 13:09:43.820,Send Email
126,914,Mary_set_914,E_MAIL_914@company.com,S1611-1237,2016-11-25 13:08:40.140,Creation
127,914,Mary_set_914,E_MAIL_914@company.com,S1611-1237,2016-11-25 13:08:40.140,Drafts
128,914,Mary_set_914,E_MAIL_914@company.com,S1611-1237,2016-11-25 13:08:40.140,Notification prise en compte demandeur
129,914,Mary_set_914,E_MAIL_914@company.com,S1611-1237,2016-11-25 13:08:40.140,Processing your request
130,914,Mary_set_914,E_MAIL_914@company.com,S1611-1237,2016-11-25 13:08:40.140,Vérification
131,914,Mary_set_914,E_MAIL_914@company.com,S1611-1237,2016-11-25 13:08:40.140,Validation demandeur
132,914,Mary_set_914,E_MAIL_914@company.com,S1611-1237,2016-11-25 13:08:40.140,Send Email
133,914,Mary_set_914,E_MAIL_914@company.com,S1611-1236,2016-11-25 13:05:47.387,Creation
134,914,Mary_set_914,E_MAIL_914@company.com,S1611-1236,2016-11-25 13:05:47.387,Drafts
135,914,Mary_set_914,E_MAIL_914@company.com,S1611-1236,2016-11-25 13:05:47.387,Notification prise en compte demandeur
136,914,Mary_set_914,E_MAIL_914@company.com,S1611-1236,2016-11-25 13:05:47.387,Processing your request
137,914,Mary_set_914,E_MAIL_914@company.com,S1611-1236,2016-11-25 13:05:47.387,Vérification
138,914,Mary_set_914,E_MAIL_914@company.com,S1611-1236,2016-11-25 13:05:47.387,Validation demandeur
139,914,Mary_set_914,E_MAIL_914@company.com,S1611-1236,2016-11-25 13:05:47.387,Send Email
140,649,Rich_vel_649,E_MAIL_649@company.com,S1611-1235,2016-11-25 12:56:31.000,Creation
141,649,Rich_vel_649,E_MAIL_649@company.com,S1611-1235,2016-11-25 12:56:31.000,Notification prise en compte demandeur
142,649,Rich_vel_649,E_MAIL_649@company.com,S1611-1235,2016-11-25 12:56:31.000,Processing your request
143,649,Rich_vel_649,E_MAIL_649@company.com,S1611-1235,2016-11-25 12:56:31.000,Delete the Contents of a Service
144,649,Rich_vel_649,E_MAIL_649@company.com,S1611-1235,2016-11-25 12:56:31.000,Requalification
145,649,Rich_vel_649,E_MAIL_649@company.com,S1611-1235,2016-11-25 12:56:31.000,Notification prise en compte demandeur
146,649,Rich_vel_649,E_MAIL_649@company.com,S1611-1235,2016-11-25 12:56:31.000,Processing your request
147,584,Jean_ais_584,E_MAIL_584@company.com,S1611-1234,2016-11-25 12:38:09.677,Creation
148,584,Jean_ais_584,E_MAIL_584@company.com,S1611-1234,2016-11-25 12:38:09.677,Drafts
149,584,Jean_ais_584,E_MAIL_584@company.com,S1611-1234,2016-11-25 12:38:09.677,Notification prise en compte demandeur
150,584,Jean_ais_584,E_MAIL_584@company.com,S1611-1234,2016-11-25 12:38:09.677,Processing your request
151,584,Jean_ais_584,E_MAIL_584@company.com,S1611-1234,2016-11-25 12:38:09.677,Vérification
152,584,Jean_ais_584,E_MAIL_584@company.com,S1611-1234,2016-11-25 12:38:09.677,Validation demandeur
153,584,Jean_ais_584,E_MAIL_584@company.com,S1611-1234,2016-11-25 12:38:09.677,Send Email
154,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Creation
155,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Drafts
156,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Notification prise en compte demandeur
157,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Processing your request
158,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Assignment
159,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Vérification
160,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Validation demandeur
161,553,Isab_ois_553,E_MAIL_553@company.com,S1611-1233,2016-11-25 12:30:42.020,Send Email
162,218,Fran_ard_218,E_MAIL_218@company.com,I1611-1043,2016-11-25 12:07:12.000,Call
163,218,Fran_ard_218,E_MAIL_218@company.com,I1611-1043,2016-11-25 12:07:12.000,Requestor notification
164,218,Fran_ard_218,E_MAIL_218@company.com,I1611-1043,2016-11-25 12:07:12.000,Analyse et résolution
165,218,Fran_ard_218,E_MAIL_218@company.com,I1611-1043,2016-11-25 12:07:12.000,Fermeture du ticket
166,218,Fran_ard_218,E_MAIL_218@company.com,I1611-1043,2016-11-25 12:07:12.000,Validation demandeur
167,218,Fran_ard_218,E_MAIL_218@company.com,I1611-1043,2016-11-25 12:07:12.000,Send Email
168,896,Nath_ant_896,E_MAIL_896@company.com,S1611-1230,2016-11-25 12:02:06.000,Call
169,882,Stép_iol_882,E_MAIL_882@company.com,I1611-1041,2016-11-25 11:51:05.000,Call
170,882,Stép_iol_882,E_MAIL_882@company.com,I1611-1041,2016-11-25 11:51:05.000,Requestor notification
171,882,Stép_iol_882,E_MAIL_882@company.com,I1611-1041,2016-11-25 11:51:05.000,Analyse et résolution
172,882,Stép_iol_882,E_MAIL_882@company.com,I1611-1041,2016-11-25 11:51:05.000,Send Email
173,848,Oliv_ain_848,E_MAIL_848@company.com,S1611-1229,2016-11-25 11:40:47.837,Creation
174,848,Oliv_ain_848,E_MAIL_848@company.com,S1611-1229,2016-11-25 11:40:47.837,Drafts
175,848,Oliv_ain_848,E_MAIL_848@company.com,S1611-1229,2016-11-25 11:40:47.837,Notification prise en compte demandeur
176,848,Oliv_ain_848,E_MAIL_848@company.com,S1611-1229,2016-11-25 11:40:47.837,Processing your request
177,848,Oliv_ain_848,E_MAIL_848@company.com,S1611-1229,2016-11-25 11:40:47.837,Processing your request
178,848,Oliv_ain_848,E_MAIL_848@company.com,S1611-1229,2016-11-25 11:40:47.837,Processing your request
179,1138,Jean_ard_1138,E_MAIL_1138@company.com,I1611-1040,2016-11-25 11:05:16.000,Call
180,1138,Jean_ard_1138,E_MAIL_1138@company.com,I1611-1040,2016-11-25 11:05:16.000,Requestor notification
181,1138,Jean_ard_1138,E_MAIL_1138@company.com,I1611-1040,2016-11-25 11:05:16.000,Analyse et résolution
182,1138,Jean_ard_1138,E_MAIL_1138@company.com,I1611-1040,2016-11-25 11:05:16.000,Analyse et résolution
183,1138,Jean_ard_1138,E_MAIL_1138@company.com,I1611-1040,2016-11-25 11:05:16.000,Analyse et résolution
184,699,Stép_rie_699,E_MAIL_699@company.com,I1611-1039,2016-11-25 10:58:33.220,Creation
185,699,Stép_rie_699,E_MAIL_699@company.com,I1611-1039,2016-11-25 10:58:33.220,Drafts
186,699,Stép_rie_699,E_MAIL_699@company.com,I1611-1039,2016-11-25 10:58:33.220,Qualification
187,699,Stép_rie_699,E_MAIL_699@company.com,I1611-1039,2016-11-25 10:58:33.220,Requalification
188,699,Stép_rie_699,E_MAIL_699@company.com,I1611-1039,2016-11-25 10:58:33.220,Requestor notification
189,699,Stép_rie_699,E_MAIL_699@company.com,I1611-1039,2016-11-25 10:58:33.220,Analyse et résolution
190,2435,Nico_mot_2435,E_MAIL_2435@company.com,I1611-1036,2016-11-25 10:25:48.000,Call
191,2435,Nico_mot_2435,E_MAIL_2435@company.com,I1611-1036,2016-11-25 10:25:48.000,Requestor notification
192,553,Isab_ois_553,E_MAIL_553@company.com,I1611-1035,2016-11-25 10:23:40.000,Call
193,553,Isab_ois_553,E_MAIL_553@company.com,I1611-1035,2016-11-25 10:23:40.000,Requestor notification
194,250,Nico_ier_250,E_MAIL_250@company.com,I1611-1033,2016-11-25 09:59:22.587,Creation
195,250,Nico_ier_250,E_MAIL_250@company.com,I1611-1033,2016-11-25 09:59:22.587,Drafts
196,250,Nico_ier_250,E_MAIL_250@company.com,I1611-1033,2016-11-25 09:59:22.587,Qualification
197,250,Nico_ier_250,E_MAIL_250@company.com,I1611-1033,2016-11-25 09:59:22.587,Requalification
198,250,Nico_ier_250,E_MAIL_250@company.com,I1611-1033,2016-11-25 09:59:22.587,Requestor notification
199,250,Nico_ier_250,E_MAIL_250@company.com,I1611-1033,2016-11-25 09:59:22.587,Analyse et résolution
200,250,Nico_ier_250,E_MAIL_250@company.com,I1611-1033,2016-11-25 09:59:22.587,Send Email
201,1514,Pasc_eau_1514,E_MAIL_1514@company.com,S1611-1227,2016-11-25 09:43:22.000,Call
202,499,Vice_rto_499,E_MAIL_499@company.com,S1611-1226,2016-11-25 09:42:55.000,Call
203,499,Vice_rto_499,E_MAIL_499@company.com,S1611-1226,2016-11-25 09:42:55.000,Notification prise en compte demandeur
204,499,Vice_rto_499,E_MAIL_499@company.com,S1611-1226,2016-11-25 09:42:55.000,Traitement de la demande
205,499,Vice_rto_499,E_MAIL_499@company.com,S1611-1226,2016-11-25 09:42:55.000,Validation futur manager
206,499,Vice_rto_499,E_MAIL_499@company.com,S1611-1226,2016-11-25 09:42:55.000,Send Email
207,2115,Jero_iot_2115,E_MAIL_2115@company.com,I1611-1031,2016-11-25 09:42:32.000,Call
208,2115,Jero_iot_2115,E_MAIL_2115@company.com,I1611-1031,2016-11-25 09:42:32.000,Requestor notification
209,2115,Jero_iot_2115,E_MAIL_2115@company.com,I1611-1031,2016-11-25 09:42:32.000,Analyse et résolution
210,2115,Jero_iot_2115,E_MAIL_2115@company.com,I1611-1031,2016-11-25 09:42:32.000,Send Email
211,2115,Jero_iot_2115,E_MAIL_2115@company.com,I1611-1031,2016-11-25 09:42:32.000,Information for Support Person
212,6068,Luis_ena_6068,E_MAIL_6068@company.com,S1611-1225,2016-11-25 09:42:03.000,Call
213,6068,Luis_ena_6068,E_MAIL_6068@company.com,S1611-1225,2016-11-25 09:42:03.000,Notification prise en compte demandeur
214,6068,Luis_ena_6068,E_MAIL_6068@company.com,S1611-1225,2016-11-25 09:42:03.000,Traitement de la demande
215,6068,Luis_ena_6068,E_MAIL_6068@company.com,S1611-1225,2016-11-25 09:42:03.000,Validation futur manager
216,6068,Luis_ena_6068,E_MAIL_6068@company.com,S1611-1225,2016-11-25 09:42:03.000,Send Email
217,1199,Flor_ier_1199,E_MAIL_1199@company.com,S1611-1224,2016-11-25 09:27:16.000,Call
218,729,Greg_Fur_729,E_MAIL_729@company.com,I1611-1028,2016-11-25 09:23:57.000,Call
219,729,Greg_Fur_729,E_MAIL_729@company.com,I1611-1028,2016-11-25 09:23:57.000,Requestor notification
220,2326,Chri_udu_2326,E_MAIL_2326@company.com,S1611-1223,2016-11-25 09:19:18.000,Call
221,2326,Chri_udu_2326,E_MAIL_2326@company.com,S1611-1223,2016-11-25 09:19:18.000,Requestor notification
222,682,Laët_ard_682,E_MAIL_682@company.com,I1611-1026,2016-11-25 09:15:34.000,Call
223,682,Laët_ard_682,E_MAIL_682@company.com,I1611-1026,2016-11-25 09:15:34.000,Requestor notification
224,682,Laët_ard_682,E_MAIL_682@company.com,I1611-1026,2016-11-25 09:15:34.000,Analyse et résolution
225,682,Laët_ard_682,E_MAIL_682@company.com,I1611-1026,2016-11-25 09:15:34.000,Send Email
226,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1222,2016-11-25 09:11:31.737,Creation
227,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1222,2016-11-25 09:11:31.737,Drafts
228,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1222,2016-11-25 09:11:31.737,Notification prise en compte demandeur
229,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1222,2016-11-25 09:11:31.737,[APPS_Valideur Hierarchique]
230,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1222,2016-11-25 09:11:31.737,Validation hiérarchique
231,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1222,2016-11-25 09:11:31.737,Send Email
232,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1222,2016-11-25 09:11:31.737,Assignment
233,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1219,2016-11-25 09:05:34.170,Creation
234,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1219,2016-11-25 09:05:34.170,Drafts
235,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1219,2016-11-25 09:05:34.170,Notification prise en compte demandeur
236,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1219,2016-11-25 09:05:34.170,[APPS_Valideur Hierarchique]
237,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1219,2016-11-25 09:05:34.170,Validation hiérarchique
238,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1219,2016-11-25 09:05:34.170,Send Email
239,1013,Chri_net_1013,E_MAIL_1013@company.com,S1611-1219,2016-11-25 09:05:34.170,Assignment
240,896,Nath_ant_896,E_MAIL_896@company.com,I1611-1025,2016-11-25 09:05:06.000,Call
241,896,Nath_ant_896,E_MAIL_896@company.com,I1611-1025,2016-11-25 09:05:06.000,Requestor notification
242,896,Nath_ant_896,E_MAIL_896@company.com,I1611-1025,2016-11-25 09:05:06.000,Analyse et résolution
243,896,Nath_ant_896,E_MAIL_896@company.com,I1611-1025,2016-11-25 09:05:06.000,Analyse et résolution
244,896,Nath_ant_896,E_MAIL_896@company.com,I1611-1025,2016-11-25 09:05:06.000,Analyse et résolution
245,896,Nath_ant_896,E_MAIL_896@company.com,I1611-1025,2016-11-25 09:05:06.000,Fermeture du ticket
